PROPERTY_NUMBER;PROPERTY_TYPE;PROPERTY_ID;PARCEL_ID;TAX_BILL_ID;TAX_YEAR;EFFECTIVE_RATE;TAXSET_DESCR;CLASSIFICATION_ID;CLASSIFICATION_DESCR;TAX_MARKET_TOTAL;NET_TAX_OWED_1ST;NET_TAX_OWED_2ND
645-19-014;800;303739736;64519014;782134405;2018;114,881873;Euclid;4010;APARTMENTS 7-19 (WALK-UP);462400;9296,24;9296,24
685-09-021;800;303431801;68509021;781937777;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);460800;11481,42;11481,42
129-17-064;800;203290608;12917064;782214605;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);460700;7694,68;7694,68
129-17-065;800;503290611;12917065;782214604;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);460700;7694,68;7694,68
302-15-026;800;503403255;30215026;782003163;2018;101,872604;Rocky River;4010;APARTMENTS 7-19 (WALK-UP);460400;8208,38;8208,38
027-09-003;800;603247457;02709003;782150545;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);459600;8059,89;7676,08
364-11-006;800;403225666;36411006;782173466;2018;93,140789;Berea;4000;COMMERCIAL VACANT LAND;459600;15870,4;7491,32
212-30-304;800;803675526;21230304;782245110;2018;70,44696;Westlake;4095;DAY CARE CENTERS;458600;5936,41;5653,72
561-24-014;800;503499636;56124014;781843600;2018;62,172461;Independence;4000;COMMERCIAL VACANT LAND;458200;4985,3;4985,3
371-22-016;800;703238422;37122016;782201936;2018;84,713179;Middleburg Hts.;4000;COMMERCIAL VACANT LAND;457400;6780,87;6780,87
312-29-036;800;903511556;31229036;781797033;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);457300;9205,3;9205,3
315-15-067;800;603582743;31515067;782233780;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);457300;9665,57;9205,3
301-14-097;800;303379826;30114097;782092103;2018;101,872604;Rocky River;4010;APARTMENTS 7-19 (WALK-UP);456600;8140,64;8140,64
315-04-071;800;403573813;31504071;782083874;2018;115,023103;Lakewood;4020;APARTMENTS 20-39 UNITS (WALK-UP);456600;9190,92;9190,92
362-09-036;800;803731425;36209036;782080651;2018;93,140789;Berea;4090;APARTMENTS 1-6 UNITS;456300;7437,76;7437,76
542-16-001;800;403367551;54216001;781995342;2018;128,531053;Garfield Hts.;4000;COMMERCIAL VACANT LAND;454600;10736,56;10225,29
144-10-011;800;303592298;14410011;782146997;2018;153,617994;Cleveland/Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);454500;12218,78;12218,78
301-33-009;800;903392198;30133009;782184355;2018;101,872604;Rocky River;4010;APARTMENTS 7-19 (WALK-UP);453900;8092,25;8092,25
684-01-124;800;903408722;68401124;781864481;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);453800;11307,72;11307,72
562-17-010;800;503502435;56217010;781946891;2018;62,172461;Independence;4110;HOTELS;453500;5181,03;4934,31
101-11-016;800;203289276;10111016;782132030;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;453200;7569,18;7569,18
213-16-035;800;903681377;21316035;781780005;2018;70,44696;Westlake;4000;COMMERCIAL VACANT LAND;452800;5582,22;5582,22
449-07-001;800;403622206;44907001;781990258;2018;86,44072;Parma;4010;APARTMENTS 7-19 (WALK-UP);452400;7186,15;6843,95
991-17-002;800;203733507;99117002;782179355;2018;84,20681;Glenwillow;4000;COMMERCIAL VACANT LAND;452400;6999,99;6666,65
312-09-017;800;103478680;31209017;781921000;2018;115,023103;Lakewood;4000;COMMERCIAL VACANT LAND;451800;9094,3;9094,3
311-17-009;800;603456095;31117009;781925569;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);451400;9086,83;9086,83
431-23-019;800;203436048;43123019;782187242;2018;78,908082;Brooklyn;4010;APARTMENTS 7-19 (WALK-UP);451200;6542,12;6230,59
685-09-070;800;203432034;68509070;782234236;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);450900;11235,11;11235,11
211-26-069;800;487313699;21126069;782140245;2018;70,44696;Westlake;4000;COMMERCIAL VACANT LAND;450500;5554,04;5554,04
312-29-004;800;503511444;31229004;781796496;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);449900;9056,34;9056,34
265-04-001;800;603338168;26504001;782191254;2018;97,28997;Olmsted Township;4000;COMMERCIAL VACANT LAND;449200;8030,37;7647,97
473-25-029;800;562406662;47325029;782053292;2018;89,181136;Parma Hts.;4000;COMMERCIAL VACANT LAND;448800;7004,29;7004,29
685-18-025;800;503435583;68518025;781999401;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);448800;11183,14;11183,14
313-09-005;800;603519581;31309005;782133885;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);447900;9016,09;9016,09
373-21-006;800;903261725;37321006;782018005;2018;84,713179;Middleburg Hts.;4090;APARTMENTS 1-6 UNITS;447900;6972,25;6640,24
648-39-043;800;503237295;64839043;782151580;2018;114,881873;Euclid;4010;APARTMENTS 7-19 (WALK-UP);447400;8995,26;8995,26
311-17-034;800;603456275;31117034;781794765;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);447300;9454,21;9004,01
120-28-011;800;903691151;12028011;781739632;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;447200;7469,45;7469,45
004-19-137;800;803296878;00419137;782236320;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;447000;7465,63;7465,63
103-25-071;800;303323405;10325071;781930022;2018;95,437969;Cleveland;4093;SUBSIDIZED HOUSING;445500;7440,34;7440,34
542-27-003;800;903374081;54227003;782152829;2018;128,531053;Garfield Hts.;4000;COMMERCIAL VACANT LAND;445000;10509,82;10009,35
323-11-059;800;403616734;32311059;782193234;2018;99,268697;Fairview Park;4010;APARTMENTS 7-19 (WALK-UP);444400;7720,62;7720,62
683-05-013;800;703392907;68305013;782174192;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);443700;11055,71;11055,71
144-08-018;800;403591993;14408018;781776348;2018;153,617994;Cleveland/Shaker Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);443600;11925,36;11925,36
144-09-022;800;403592128;14409022;781783981;2018;153,617994;Cleveland/Shaker Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);443600;11926,13;11926,13
144-09-032;800;903592187;14409032;781783986;2018;153,617994;Cleveland/Shaker Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);443600;11926,13;11926,13
433-23-004;800;503463816;43323004;782240051;2018;78,908082;Brooklyn;4010;APARTMENTS 7-19 (WALK-UP);443000;6117,35;6117,35
644-07-006;800;603717410;64407006;782047310;2018;114,881873;Euclid;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);443000;8906,22;8906,22
644-19-001;800;603725474;64419001;781972620;2018;114,881873;Euclid;4010;APARTMENTS 7-19 (WALK-UP);443000;8906,22;8906,22
312-12-052;800;703494328;31212052;782014176;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);442600;8909,69;8909,69
312-12-055;800;903494339;31212055;781965269;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);442600;8909,69;8909,69
813-21-002;800;703465321;81321002;782149161;2018;97,725074;Bedford;4010;APARTMENTS 7-19 (WALK-UP);442000;7559,52;7559,52
685-10-005;800;303432314;68510005;781856658;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);441600;11553,18;11003,03
685-09-005;800;603431579;68509005;781857077;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);441300;11545,71;10995,91
685-09-007;800;103431610;68509007;782083209;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);441300;10995,91;10995,91
685-10-037;800;603432767;68510037;781857133;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);441300;10995,91;10995,91
954-02-001;800;303687635;95402001;782207755;2018;84,671633;Solon;4100;MOTELS;440600;6529,03;6529,03
215-01-005;800;103705840;21501005;782055025;2018;70,44696;Westlake;4010;APARTMENTS 7-19 (WALK-UP);440400;5429,35;5429,35
734-04-005;800;903663944;73404005;782091286;2018;150,817994;Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);440200;12199,18;11618,26
119-04-056;800;203651436;11904056;781738309;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);439700;7343,95;7343,95
114-07-013;800;803555655;11407013;782014770;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);439400;7339,18;7339,18
682-24-003;800;603381026;68224003;782235853;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);439300;10946,08;10946,08
452-34-009;800;803673204;45234009;782124824;2018;86,44072;Parma;4000;COMMERCIAL VACANT LAND;439000;6640,81;6640,81
101-24-001B;800;403291483;10124001B;781720052;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;438300;7320,57;7320,57
781-22-034;800;503298018;78122034;781867691;2018;117,525483;Maple Hts.;4010;APARTMENTS 7-19 (WALK-UP);437100;9304,62;8990,11
603-04-012;800;1147125451;60304012;782104365;2018;81,889525;Brecksville;4000;COMMERCIAL VACANT LAND;436900;6261,28;6261,28
551-19-016;800;340160406;55119016;782142625;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436800;7298,47;6950,92
551-19-017;800;2134509118;55119017;782142624;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436800;7298,47;6950,92
551-19-018;800;1339832300;55119018;782140427;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436800;7298,47;6950,92
551-19-019;800;288549844;55119019;782140426;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436800;7298,47;6950,92
551-20-052;800;1097281462;55120052;782142623;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436800;7298,47;6950,92
551-20-053;800;375390261;55120053;782142622;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436800;7298,47;6950,92
551-20-054;800;1554930411;55120054;782142621;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436800;7298,47;6950,92
551-20-055;800;588115225;55120055;782142620;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436800;7298,47;6950,92
551-20-056;800;2076844065;55120056;782142619;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436800;7298,47;6950,92
551-20-057;800;1797045625;55120057;782140425;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436800;7298,47;6950,92
551-19-015;800;490763055;55119015;782140428;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436600;7295,13;6947,74
551-20-058;800;2024205886;55120058;782140424;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;436600;7295,13;6947,74
120-28-054;800;303691505;12028054;782195404;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);435800;7279,05;7279,05
120-24-003;800;603690491;12024003;782082666;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);435500;7637,5;7273,81
471-01-021;800;103733533;47101021;782003260;2018;89,181136;Parma Hts.;4090;APARTMENTS 1-6 UNITS;435200;6792,04;6792,04
650-03-008;800;403252036;65003008;782133579;2018;114,881873;Euclid;4010;APARTMENTS 7-19 (WALK-UP);435200;8749,4;8749,4
644-05-013;800;303716696;64405013;781838387;2018;114,881873;Euclid;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);433300;8711,49;8711,49
473-21-040;800;503213688;47321040;781832554;2018;89,181136;Parma Hts.;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);433200;6760,82;6760,82
685-28-002;800;103439971;68528002;781945131;2018;142,378786;Cleveland Hts.;4090;APARTMENTS 1-6 UNITS;433200;10793,74;10793,74
583-03-018;800;603568523;58303018;781847703;2018;83,928938;Broadview Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);432800;6674,62;6356,78
736-27-060;800;703726150;73627060;782184008;2018;150,817994;Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);432500;11415,41;11415,41
735-02-008;800;203678301;73502008;782152007;2018;150,817994;Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);432400;11413,15;11413,15
114-28-013;800;803566968;11428013;782231611;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);432100;7577,87;7217,02
397-17-005;800;703386571;39717005;782112429;2018;74,355749;Strongsville;4000;COMMERCIAL VACANT LAND;431900;5620,18;5620,18
861-23-082;800;203546037;86123082;781948341;2018;88,969525;Mayfield Hts.;4010;APARTMENTS 7-19 (WALK-UP);431900;6724,76;6724,76
814-03-010;800;903469877;81403010;782032247;2018;97,725074;Bedford;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);431100;7741,52;7372,87
814-03-011;800;403469881;81403011;782032248;2018;97,725074;Bedford;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);431100;7741,52;7372,87
315-18-001;800;303584468;31518001;781792197;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);429700;9082,23;8649,74
311-19-033;800;203457027;31119033;782086654;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);429300;8641,69;8641,69
445-23-011;800;203557431;44523011;781806966;2018;86,44072;Parma;4120;NURSING HOME;428500;6482,19;6482,19
312-12-003;800;903493979;31212003;782074039;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);427900;8613,51;8613,51
650-02-029;800;603252002;65002029;781913763;2018;114,881873;Euclid;4010;APARTMENTS 7-19 (WALK-UP);427500;8594,89;8594,89
684-06-013;800;203411046;68406013;782002263;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);425400;10599,39;10599,39
301-32-060;800;703392007;30132060;781998840;2018;101,872604;Rocky River;4010;APARTMENTS 7-19 (WALK-UP);425200;7959,36;7580,34
312-29-001;800;503511426;31229001;781944437;2018;115,023103;Lakewood;4040;APARTMENTS 7-19 UNITS (ELEVATOR);425000;8554,85;8554,85
001-19-004;800;303225107;00119004;781999262;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);424400;7088,65;7088,65
144-13-003;800;403595971;14413003;781925803;2018;153,617994;Cleveland/Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);424400;11409,21;11409,21
237-19-024;800;503307882;23719024;781771715;2018;102,331189;North Olmsted;4000;COMMERCIAL VACANT LAND;424200;7596,55;7596,55
673-04-013;800;703336018;67304013;781860913;2018;119,31843;East Cleveland;4060;APARTMENTS 20-39 UNITS (GARDEN);423900;8851,64;8851,64
736-27-065;800;203726172;73627065;782103051;2018;150,817994;Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);423600;11180,14;11180,14
113-05-036;800;303532988;11305036;782210200;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);422600;7058,12;7058,12
685-12-059;800;203433573;68512059;781914343;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);421200;10495,46;10495,46
685-12-060;800;503433576;68512060;781860454;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);421200;10495,46;10495,46
213-17-006;800;403681633;21317006;781965642;2018;70,44696;Westlake;4010;APARTMENTS 7-19 (WALK-UP);420300;5181,73;5181,73
782-22-081;800;803322663;78222081;782113015;2018;117,525483;Maple Hts.;4010;APARTMENTS 7-19 (WALK-UP);420300;8644,59;8644,59
312-28-035;800;403510930;31228035;782152138;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);419900;8875,1;8452,47
101-36-312;800;2137553567;10136312;782105721;2018;95,437969;Cleveland;4110;HOTELS;419500;7006,58;7006,58
019-06-058;800;103634299;01906058;782173182;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);418800;6994,65;6994,65
546-15-022;800;703438510;54615022;782114732;2018;128,531053;Garfield Hts.;4020;APARTMENTS 20-39 UNITS (WALK-UP);418500;9413,62;9413,62
371-08-002;800;203235105;37108002;782032695;2018;84,713179;Middleburg Hts.;4000;COMMERCIAL VACANT LAND;418200;6199,73;6199,73
531-15-007;800;103340116;53115007;782023137;2018;60,886905;Brooklyn Hts.;4000;COMMERCIAL VACANT LAND;417700;4450,83;4450,83
562-32-021;800;503508249;56232021;782189228;2018;62,172461;Independence;4000;COMMERCIAL VACANT LAND;417500;4769,76;4542,63
392-21-014;800;903316742;39221014;781962661;2018;74,355749;Strongsville;4010;APARTMENTS 7-19 (WALK-UP);416600;5421,28;5421,28
736-11-016;800;303713060;73611016;782240873;2018;150,817994;Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);416600;18913,61;10995,39
003-26-039;800;303270674;00326039;781711937;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);416400;7302,29;6954,56
143-03-013;800;603572492;14303013;782226867;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);416200;26219;6951,22
312-27-021;800;403510147;31227021;782256357;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);416200;8378,28;8378,28
237-10-006;800;803304213;23710006;782254174;2018;102,331189;North Olmsted;4120;NURSING HOME;416100;7824,34;7451,75
731-14-013;800;703646518;73114013;781875744;2018;150,817994;Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);416000;10979,55;10979,55
018-16-119;800;803619753;01816119;782210134;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);415900;6946,45;6946,45
673-18-041;800;303345212;67318041;782064946;2018;119,31843;East Cleveland;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);415900;8684,59;8684,59
002-35-193;800;903260546;00235193;782239501;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);415500;7286,76;6939,77
018-14-017;800;203616057;01814017;782156204;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);415300;6936,44;6936,44
144-10-017;800;903592412;14410017;782260645;2018;153,617994;Cleveland/Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);415100;11159,58;11159,58
431-23-020;800;403436050;43123020;782069073;2018;78,908082;Brooklyn;4010;APARTMENTS 7-19 (WALK-UP);415100;5732,27;5732,27
312-10-016;800;703482313;31210016;782025547;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);414000;8334;8334
313-19-046;800;203530296;31319046;781922000;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);413200;8317,89;8317,89
342-08-031;800;503654931;34208031;782158893;2018;84,505545;Brook Park;4010;APARTMENTS 7-19 (WALK-UP);412500;6100,45;6100,45
393-19-033;800;903331349;39319033;782166085;2018;74,355749;Strongsville;4000;COMMERCIAL VACANT LAND;412300;5365,14;5365,14
685-11-018;800;803433021;68511018;782046409;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);412300;10273,34;10273,34
009-14-058;800;403412020;00914058;782054268;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);411500;6872,96;6872,96
144-10-014;800;603592310;14410014;781908998;2018;153,617994;Cleveland/Shaker Hts.;4020;APARTMENTS 20-39 UNITS (WALK-UP);411500;11062,8;11062,8
102-23-015;800;103302622;10223015;782135512;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);411200;6867,72;6867,72
736-27-013;800;603725987;73627013;782015998;2018;150,817994;Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);410900;11387,6;10845,33
455-19-007;800;103704319;45519007;782214477;2018;86,44072;Parma;4000;COMMERCIAL VACANT LAND;409600;6196,07;6196,07
025-23-029;800;103216357;02523029;782034095;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);409500;6839,56;6839,56
025-33-061;800;903222332;02533061;782050681;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);409500;6839,56;6839,56
026-02-018;800;703223977;02602018;781716868;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);409500;6839,56;6839,56
684-03-007;800;703409449;68403007;782061728;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);408700;10183,65;10183,65
685-26-027;800;903438980;68526027;781856930;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);408700;10692,84;10183,65
130-15-019;800;503319339;13015019;782105593;2018;95,437969;Cleveland;4030;APARTMENTS 40 OR MORE UNITS (WALK-UP);408600;7165,52;6824,3
684-04-065;800;403410076;68404065;782036935;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);408200;10170,83;10170,83
144-10-019;800;203592432;14410019;782263568;2018;153,617994;Cleveland/Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);407700;11508,69;10960,65
236-13-012;800;603294698;23613012;782074641;2018;102,331189;North Olmsted;4000;COMMERCIAL VACANT LAND;407700;7301,33;7301,33
312-34-001;800;203515050;31234001;781797220;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);407500;8202,87;8202,87
371-21-004;800;103238353;37121004;782251608;2018;84,713179;Middleburg Hts.;4000;COMMERCIAL VACANT LAND;407500;6343,39;6041,32
001-25-018;800;503230221;00125018;782261811;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);407200;7140,96;6800,91
682-30-050;800;903385547;68230050;782230488;2018;142,378786;Cleveland Hts.;4020;APARTMENTS 20-39 UNITS (WALK-UP);407000;10140,93;10140,93
301-14-078;800;703379794;30114078;781775030;2018;101,872604;Rocky River;4010;APARTMENTS 7-19 (WALK-UP);406000;7238,56;7238,56
546-13-016;800;809826556;54613016;782114734;2018;128,531053;Garfield Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);405900;9130,2;9130,2
546-15-019;800;603438473;54615019;782114733;2018;128,531053;Garfield Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);405900;9130,2;9130,2
546-16-002;800;303438524;54616002;782114731;2018;128,531053;Garfield Hts.;4020;APARTMENTS 20-39 UNITS (WALK-UP);405900;9130,2;9130,2
546-16-008;800;103438540;54616008;782114730;2018;128,531053;Garfield Hts.;4020;APARTMENTS 20-39 UNITS (WALK-UP);405900;9130,2;9130,2
144-10-016;800;703592410;14410016;782200758;2018;153,617994;Cleveland/Shaker Hts.;4020;APARTMENTS 20-39 UNITS (WALK-UP);405600;11449;10903,81
472-22-004;800;803749038;47222004;781950234;2018;89,181136;Parma Hts.;4020;APARTMENTS 20-39 UNITS (WALK-UP);405400;6327,4;6327,4
583-26-002;800;103572721;58326002;782053599;2018;83,928938;Broadview Hts.;4000;COMMERCIAL VACANT LAND;405100;5950,14;5950,14
661-11-107;800;403268353;66111107;781857952;2018;103,536333;Richmond Hts.;4000;COMMERCIAL VACANT LAND;404900;7336,58;7336,58
119-15-008;800;403659556;11915008;782084097;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;404800;6760,82;6760,82
343-10-001;800;603664598;34310001;782235686;2018;84,505545;Brook Park;4110;HOTELS;404700;6284,37;5985,11
786-03-004;800;103363606;78603004;782074243;2018;117,525483;Maple Hts.;4010;APARTMENTS 7-19 (WALK-UP);404700;8323,74;8323,74
661-11-093;800;503268147;66111093;781949154;2018;103,536333;Richmond Hts.;4095;DAY CARE CENTERS;403600;7678,96;7313,29
002-01-013;800;303234575;00201013;782251166;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);403300;7072,81;6736,01
113-05-027;800;903532967;11305027;782124517;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);403200;6734,58;6734,58
237-19-037;800;503307963;23719037;781771722;2018;102,331189;North Olmsted;4000;COMMERCIAL VACANT LAND;403100;7218,95;7218,95
311-18-082;800;303456821;31118082;781947746;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);402900;8110,28;8110,28
482-32-005;800;903262850;48232005;781824656;2018;74,391307;North Royalton;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);402500;5240,13;5240,13
685-05-018;800;903430493;68505018;782010993;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);401900;10014,22;10014,22
685-05-019;800;303430496;68505019;782020958;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);401900;10014,22;10014,22
144-05-005;800;203590560;14405005;782141394;2018;153,617994;Cleveland/Shaker Hts.;4010;APARTMENTS 7-19 (WALK-UP);401700;11339,31;10799,34
551-19-022;800;828841186;55119022;782258583;2018;90,933069;Seven Hills;4000;COMMERCIAL VACANT LAND;401200;6703,63;6384,41
685-18-040;800;103435759;68518040;782050897;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);401200;9996,41;9996,41
782-22-087;800;103322683;78222087;782262257;2018;117,525483;Maple Hts.;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);400000;8226,78;8226,78
762-24-001;800;303259316;76224001;782072684;2018;107,218084;Warrensville Hts.;4000;COMMERCIAL VACANT LAND;399100;7488,64;7488,64
212-19-003;800;103670893;21219003;781985503;2018;70,44696;Westlake;4120;NURSING HOME;397900;4905,58;4905,58
581-27-006;800;603551945;58127006;782000226;2018;83,928938;Broadview Hts.;4095;DAY CARE CENTERS;397800;6135,29;5843,13
130-24-021;800;303328562;13024021;781764656;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);397500;6971,1;6639,14
450-05-012;800;903638348;45005012;781830352;2018;86,44072;Parma;4000;COMMERCIAL VACANT LAND;397000;6005,47;6005,47
101-36-003;800;403294660;10136003;782041698;2018;95,437969;Cleveland;4050;APARTMENTS 20-39 UNITS (ELEVATOR);396500;6622,44;6622,44
101-36-004;800;803294664;10136004;782041697;2018;95,437969;Cleveland;4050;APARTMENTS 20-39 UNITS (ELEVATOR);396500;6622,44;6622,44
028-29-008;800;103267990;02829008;782211383;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);396300;6619,1;6619,1
001-25-094;800;503230995;00125094;781936092;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);395900;6612,42;6612,42
583-03-024;800;1732919719;58303024;782234640;2018;83,928938;Broadview Hts.;4000;COMMERCIAL VACANT LAND;395900;5815,01;5815,01
685-11-023;800;703433038;68511023;781956592;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);395700;9859,73;9859,73
901-01-001;800;303608444;90101001;781953472;2018;80,677205;Orange;4110;HOTELS;395700;5586,89;5586,89
795-03-014;800;603417548;79503014;781887267;2018;79,825074;Oakwood;4000;COMMERCIAL VACANT LAND;395300;5798,42;5522,3
581-23-004;800;303549638;58123004;781930982;2018;83,928938;Broadview Hts.;4000;COMMERCIAL VACANT LAND;394700;5797,39;5797,39
312-28-039;800;803510952;31228039;782248492;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);393700;8321,35;7925,09
323-12-008;800;903616856;32312008;782174112;2018;99,268697;Fairview Park;4010;APARTMENTS 7-19 (WALK-UP);393300;7174,31;6832,67
685-08-030;800;203431278;68508030;781979690;2018;142,378786;Cleveland Hts.;4010;APARTMENTS 7-19 (WALK-UP);392800;9787,83;9787,83
